01000001,[['Toán', '8.4'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '6'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01002561,[['Toán', '7'], ['Văn', '8.75'], ['Sử', '6.5'], ['Địa', '6'], ['Ngoại ngữ', '8.2'], ['GDCD', '9']]
01002562,[['Toán', '5.4'], ['Văn', '8.5'], ['Sử', '5.25'], ['Địa', '5.5'], ['Ngoại ngữ', '5.8'], ['GDCD', '7.5']]
01002563,[['Toán', '8.6'], ['Văn', '8.75'], ['Sử', '6'], ['Địa', '6.5'], ['Ngoại ngữ', '8.6'], ['GDCD', '8.5']]
01002564,[['Toán', '3'], ['Văn', '7.25'], ['Sử', '3.75'], ['Địa', '6.75'], ['Ngoại ngữ', '3.6'], ['GDCD', '8']]
01002565,[['Toán', '9'], ['Văn', '9'], ['Sử', '7.5'], ['Địa', '7.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '10']]
01002566,[['Toán', '8.4'], ['Lí', '6.25'], ['Hóa', '7.25'], ['Sinh', '5.25'], ['Văn', '8.25'], ['Ngoại ngữ', '9']]
01002567,[['Toán', '7.6'], ['Văn', '7.5'], ['Sử', '6'], ['Địa', '6.75'], ['Ngoại ngữ', '9'], ['GDCD', '8.75']]
01002568,[['Toán', '7.4'], ['Văn', '8.5'], ['Sử', '5.5'], ['Địa', '5.25'], ['GDCD', '8.5']]
01002569,[['Toán', '6.6'], ['Văn', '5.75'], ['Sử', '3.75'], ['Địa', '6.5'], ['Ngoại ngữ', '5.2'], ['GDCD', '7.5']]
01002570,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '8.25'], ['Địa', '6.5'], ['Ngoại ngữ', '9'], ['GDCD', '8.5']]
01002571,[['Toán', '7.8'], ['Văn', '8.25'], ['Sử', '8.25'], ['Địa', '7'], ['Ngoại ngữ', '9.4'], ['GDCD', '8']]
01002572,[['Toán', '7'], ['Văn', '8.25'], ['Sử', '6.5'], ['Địa', '5.75'], ['Ngoại ngữ', '9.4'], ['GDCD', '8.75']]
01002573,[['Toán', '7.8'], ['Văn', '9'], ['Sử', '7'], ['Địa', '8.5'], ['Ngoại ngữ', '8.2'], ['GDCD', '9']]
01002574,[['Toán', '8'], ['Văn', '7.5'], ['Sử', '3.75'], ['Địa', '6'], ['Ngoại ngữ', '2.4'], ['GDCD', '7.5']]
01002575,[['Toán', '7'], ['Lí', '6.25'], ['Hóa', '5.5'], ['Sinh', '7.5'], ['Văn', '8'], ['Ngoại ngữ', '9.6']]
01002576,[['Toán', '8.2'], ['Lí', '4'], ['Hóa', '7.75'], ['Sinh', '7'], ['Văn', '7.75'], ['Ngoại ngữ', '4.4']]
01002577,[['Toán', '5.6'], ['Văn', '6.25'], ['Sử', '8.5'], ['Địa', '6.5'], ['Ngoại ngữ', '8'], ['GDCD', '8.25']]
01002578,[['Toán', '7'], ['Văn', '8'], ['Sử', '8'], ['Địa', '6.5'], ['Ngoại ngữ', '8.8'], ['GDCD', '9.25']]
01002579,[['Toán', '8'], ['Văn', '9'], ['Sử', '6.75'], ['Địa', '6.25'], ['Ngoại ngữ', '9'], ['GDCD', '9']]
01002580,[['Toán', '8.2'], ['Văn', '8'], ['Sử', '7.75'], ['Địa', '6.5'], ['GDCD', '8.75']]
01002581,[['Toán', '8'], ['Văn', '9'], ['Sử', '7'], ['Địa', '7.25'], ['Ngoại ngữ', '9'], ['GDCD', '10']]
01002582,[['Toán', '8.6'], ['Lí', '7.75'], ['Hóa', '7'], ['Sinh', '6'], ['Văn', '7.75'], ['Ngoại ngữ', '3.8']]
01002583,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '6'], ['Địa', '7'], ['Ngoại ngữ', '9'], ['GDCD', '8.25']]
01002584,[['Toán', '8'], ['Văn', '7.25'], ['Sử', '5'], ['Địa', '6.75'], ['GDCD', '7']]
01002585,[['Toán', '7.2'], ['Văn', '8.75'], ['Sử', '7.75'], ['Địa', '6'], ['Ngoại ngữ', '8.4'], ['GDCD', '8']]
01002586,[['Toán', '7.4'], ['Văn', '9'], ['Sử', '5'], ['Địa', '6.75'], ['Ngoại ngữ', '9'], ['GDCD', '8.75']]
01002587,[['Toán', '6.2'], ['Văn', '8.5'], ['Sử', '7.75'], ['Địa', '6.25'], ['Ngoại ngữ', '3'], ['GDCD', '9']]
01002588,[]
01002589,[['Toán', '6.6'], ['Văn', '7'], ['Sử', '7'], ['Địa', '7'], ['Ngoại ngữ', '2.8'], ['GDCD', '9']]
01002590,[['Toán', '8.2'], ['Lí', '8.25'], ['Hóa', '8.25'], ['Sinh', '8'], ['Văn', '7'], ['Ngoại ngữ', '9']]
01002591,[['Toán', '7.2'], ['Lí', '7'], ['Hóa', '7'], ['Sinh', '6.25'], ['Văn', '7.75'], ['Ngoại ngữ', '6.4']]
01002592,[['Toán', '6.2'], ['Văn', '7.25'], ['Sử', '6.5'], ['Địa', '6'], ['Ngoại ngữ', '7.6'], ['GDCD', '9']]
01002593,[['Toán', '7.6'], ['Văn', '8.25'], ['Sử', '5.25'], ['Địa', '6.25'], ['Ngoại ngữ', '5.8'], ['GDCD', '8.75']]
01002594,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '7.75'], ['Địa', '7.5'], ['Ngoại ngữ', '8.4'], ['GDCD', '9']]
01002595,[['Toán', '4.6'], ['Văn', '7.5'], ['Sử', '5.5'], ['Địa', '3.25'], ['Ngoại ngữ', '3.4'], ['GDCD', '6.5']]
01002596,[['Toán', '8.2'], ['Văn', '8.75'], ['Sử', '7'], ['Địa', '6.5'], ['Ngoại ngữ', '7.8'], ['GDCD', '9']]
01002597,[['Toán', '7.6'], ['Văn', '8.75'], ['Sử', '7'], ['Địa', '5.25'], ['Ngoại ngữ', '9.4'], ['GDCD', '8.25']]
01002598,[['Toán', '8'], ['Văn', '9.5'], ['Sử', '7.75'], ['Địa', '7.25'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.25']]
01002599,[['Toán', '8.4'], ['Văn', '9.25'], ['Sử', '7'], ['Địa', '6.75'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.75']]
01002600,[['Toán', '6.6'], ['Văn', '8.5'], ['Sử', '6'], ['Địa', '6.25'], ['Ngoại ngữ', '8.6'], ['GDCD', '8.5']]
01002601,[['Toán', '8.2'], ['Văn', '8.75'], ['Sử', '7'], ['Địa', '6.5'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.5']]
01002602,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '6'], ['Địa', '7.25'], ['Ngoại ngữ', '6.8'], ['GDCD', '9.5']]
01002603,[['Toán', '6.6'], ['Văn', '8.75'], ['Sử', '8.5'], ['Địa', '6'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.5']]
01002604,[['Toán', '7'], ['Văn', '7.75'], ['Sử', '5.5'], ['Địa', '5.75'], ['Ngoại ngữ', '7.8'], ['GDCD', '7.75']]
01002605,[['Toán', '7.6'], ['Văn', '8.75'], ['Sử', '7.25'], ['Địa', '7'], ['Ngoại ngữ', '9.4'], ['GDCD', '9']]
01002606,[['Toán', '6'], ['Văn', '8'], ['Sử', '6.5'], ['Địa', '6.5'], ['Ngoại ngữ', '8.8'], ['GDCD', '9.25']]
01002607,[['Toán', '7'], ['Văn', '8.75'], ['Sử', '7'], ['Địa', '6.25'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.5']]
01002608,[['Toán', '7.4'], ['Văn', '8'], ['Sử', '5.25'], ['Địa', '5.75'], ['Ngoại ngữ', '7.6'], ['GDCD', '7.5']]
01002609,[['Toán', '5.8'], ['Văn', '8.5'], ['Sử', '6'], ['Địa', '7'], ['Ngoại ngữ', '6.6'], ['GDCD', '7.75']]
01002610,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '6.5'], ['Địa', '6.5'], ['Ngoại ngữ', '8.6'], ['GDCD', '8.75']]
01002611,[['Toán', '5.6'], ['Văn', '6.75'], ['Sử', '4.25'], ['Địa', '4.5'], ['Ngoại ngữ', '7.6'], ['GDCD', '8']]
01002612,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '5'], ['Địa', '5'], ['Ngoại ngữ', '8.6'], ['GDCD', '7.25']]
01002613,[['Toán', '6.2'], ['Văn', '6.75'], ['Sử', '4.5'], ['Địa', '5.25'], ['Ngoại ngữ', '5.4'], ['GDCD', '7.75']]
01002614,[['Toán', '7.2'], ['Văn', '6.5'], ['Sử', '7.75'], ['Địa', '6.75'], ['Ngoại ngữ', '5.2'], ['GDCD', '8']]
01002615,[['Toán', '7.8'], ['Văn', '7.5'], ['Sử', '6'], ['Địa', '6.25'], ['Ngoại ngữ', '9.6'], ['GDCD', '8.25']]
01002616,[['Toán', '6.4'], ['Văn', '7.25'], ['Sử', '4.75'], ['Địa', '5.25'], ['Ngoại ngữ', '5.2'], ['GDCD', '7.25']]
01002617,[['Toán', '8'], ['Văn', '9'], ['Sử', '6'], ['Địa', '6'], ['Ngoại ngữ', '8'], ['GDCD', '9']]
01002618,[['Toán', '7.2'], ['Lí', '5.5'], ['Hóa', '5'], ['Sinh', '3'], ['Văn', '8.25'], ['Ngoại ngữ', '8.6']]
01002619,[['Toán', '8.4'], ['Lí', '7.25'], ['Hóa', '9.5'], ['Sinh', '6.25'], ['Văn', '7.5'], ['Ngoại ngữ', '8.6']]
01002620,[]
01002621,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '8.25'], ['Địa', '8.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '9.5']]
01002622,[['Toán', '8.4'], ['Lí', '7'], ['Hóa', '3.5'], ['Sinh', '3.75'], ['Văn', '7.25'], ['Ngoại ngữ', '7.8']]
01002623,[['Toán', '7.4'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '6.75'], ['Ngoại ngữ', '6.6'], ['GDCD', '8.75']]
01002624,[['Toán', '7.6'], ['Lí', '6.25'], ['Hóa', '3.25'], ['Sinh', '5'], ['Văn', '8.5'], ['Ngoại ngữ', '6.8']]
01002625,[['Toán', '5.2'], ['Văn', '9.25'], ['Sử', '5.25'], ['Địa', '3.5'], ['Ngoại ngữ', '7.4'], ['GDCD', '6.75']]
01002626,[['Toán', '8.8'], ['Văn', '9.5'], ['Sử', '6.5'], ['Địa', '6.75'], ['Ngoại ngữ', '8.8'], ['GDCD', '8.5']]
01002627,[['Toán', '8.2'], ['Lí', '5.5'], ['Hóa', '7.25'], ['Sinh', '6.5'], ['Văn', '8'], ['Ngoại ngữ', '7.4']]
01002628,[['Toán', '8.2'], ['Lí', '6.25'], ['Hóa', '5.75'], ['Sinh', '6.5'], ['Văn', '8.5'], ['Ngoại ngữ', '7.6']]
01002629,[['Toán', '8.2'], ['Lí', '7'], ['Hóa', '8.25'], ['Sinh', '7.25'], ['Văn', '8.25'], ['Ngoại ngữ', '8.4']]
01002630,[['Toán', '6.4'], ['Văn', '8.5'], ['Sử', '6'], ['Địa', '5.75'], ['Ngoại ngữ', '8.8'], ['GDCD', '9']]
01002631,[['Toán', '8.4'], ['Lí', '7'], ['Hóa', '7.75'], ['Sinh', '7.75'], ['Văn', '8'], ['Ngoại ngữ', '8.8']]
01002632,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '6.5'], ['Địa', '6.5'], ['Ngoại ngữ', '9.2'], ['GDCD', '7.25']]
01002633,[['Toán', '7'], ['Văn', '8.75'], ['Sử', '4.75'], ['Địa', '6'], ['Ngoại ngữ', '6.8'], ['GDCD', '8']]
01002634,[['Toán', '5.4'], ['Văn', '8.5'], ['Sử', '4.75'], ['Địa', '5.75'], ['Ngoại ngữ', '4.2'], ['GDCD', '8.75']]
01002635,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '5.5'], ['Địa', '6.25'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.25']]
01002636,[['Toán', '7.6'], ['Văn', '7.5'], ['Sử', '6'], ['Địa', '5.25'], ['Ngoại ngữ', '8.4'], ['GDCD', '9.25']]
01002637,[['Toán', '7.6'], ['Văn', '8'], ['Sử', '7.75'], ['Địa', '6.5'], ['Ngoại ngữ', '9.6'], ['GDCD', '7.5']]
01002638,[['Toán', '9'], ['Văn', '9'], ['Sử', '4'], ['Địa', '5.25'], ['Ngoại ngữ', '8.2'], ['GDCD', '7.75']]
01002639,[['Toán', '6.6'], ['Văn', '8.25'], ['Sử', '3.5'], ['Địa', '4.5'], ['Ngoại ngữ', '3.2'], ['GDCD', '5.5']]
01002640,[['Toán', '7.2'], ['Văn', '8.75'], ['Sử', '4.25'], ['Địa', '6.25'], ['Ngoại ngữ', '8'], ['GDCD', '8.5']]
01002641,[['Toán', '6.6'], ['Văn', '7.75'], ['Sử', '6.25'], ['Địa', '7'], ['Ngoại ngữ', '8.6'], ['GDCD', '8.25']]
01002642,[['Toán', '5.6'], ['Văn', '6.25'], ['Sử', '5.5'], ['Địa', '4.75'], ['Ngoại ngữ', '4'], ['GDCD', '8']]
01002643,[['Toán', '7.8'], ['Văn', '8'], ['Sử', '4'], ['Địa', '7.25'], ['Ngoại ngữ', '8.2'], ['GDCD', '9.25']]
01002644,[['Toán', '5.2'], ['Văn', '6.75'], ['Sử', '3.5'], ['Địa', '6'], ['Ngoại ngữ', '3.4'], ['GDCD', '8.25']]
01002645,[['Toán', '8.4'], ['Văn', '7.75'], ['Sử', '5.75'], ['Địa', '6.25'], ['Ngoại ngữ', '8'], ['GDCD', '8']]
01002646,[['Toán', '8.6'], ['Văn', '8.5'], ['Sử', '4'], ['Địa', '6'], ['Ngoại ngữ', '9'], ['GDCD', '8.75']]
01002647,[['Toán', '7'], ['Văn', '9'], ['Sử', '5.5'], ['Địa', '5.75'], ['Ngoại ngữ', '7.6'], ['GDCD', '7']]
01002648,[['Toán', '8'], ['Văn', '9'], ['Sử', '8'], ['Địa', '8.25'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.75']]
01002649,[['Toán', '7.4'], ['Văn', '8'], ['Sử', '3.5'], ['Địa', '5.5'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.25']]
01002650,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '5.75'], ['Địa', '6.25'], ['Ngoại ngữ', '8.6'], ['GDCD', '9']]
01002651,[['Toán', '6.6'], ['Văn', '9'], ['Sử', '6'], ['Địa', '6.25'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.5']]
01002652,[['Toán', '6'], ['Văn', '8'], ['Sử', '4.5'], ['Địa', '6'], ['Ngoại ngữ', '6'], ['GDCD', '6.25']]
01002653,[['Toán', '7.6'], ['Văn', '8.75'], ['Sử', '4.75'], ['Địa', '6.75'], ['Ngoại ngữ', '8.8'], ['GDCD', '8.75']]
01002654,[['Toán', '7.4'], ['Văn', '8.75'], ['Sử', '5.25'], ['Địa', '5.25'], ['Ngoại ngữ', '8.2'], ['GDCD', '6.75']]
01002655,[['Toán', '8.4'], ['Văn', '9.25'], ['Sử', '5.25'], ['Địa', '4.75'], ['Ngoại ngữ', '7'], ['GDCD', '7.5']]
01002656,[['Toán', '8'], ['Lí', '7'], ['Hóa', '8'], ['Sinh', '7.75'], ['Văn', '8.75'], ['Ngoại ngữ', '8.6']]
01002657,[['Toán', '8.2'], ['Văn', '8.75'], ['Sử', '5.5'], ['Địa', '6'], ['Ngoại ngữ', '8.6'], ['GDCD', '7.75']]
01002658,[['Toán', '7.8'], ['Văn', '9'], ['Sử', '6.5'], ['Địa', '6'], ['Ngoại ngữ', '8.8'], ['GDCD', '8']]
01002659,[['Toán', '5.6'], ['Văn', '8.25'], ['Sử', '5.5'], ['Địa', '3.75'], ['Ngoại ngữ', '6'], ['GDCD', '7.75']]
01002660,[['Toán', '6'], ['Văn', '7.5'], ['Sử', '4'], ['Địa', '4.5'], ['Ngoại ngữ', '3'], ['GDCD', '6']]
01002661,[['Toán', '8'], ['Văn', '8.75'], ['Sử', '8.5'], ['Địa', '7.25'], ['Ngoại ngữ', '8.8'], ['GDCD', '9']]
01002662,[['Toán', '8.4'], ['Văn', '8.75'], ['Sử', '6'], ['Địa', '6.75'], ['Ngoại ngữ', '8.4'], ['GDCD', '8.75']]
01002663,[['Toán', '8.4'], ['Văn', '8.75'], ['Sử', '4.75'], ['Địa', '5'], ['Ngoại ngữ', '7.6'], ['GDCD', '8.25']]
01002664,[['Toán', '7.4'], ['Văn', '8.5'], ['Sử', '7.5'], ['Địa', '6.25'], ['Ngoại ngữ', '8.6'], ['GDCD', '9.75']]
01002665,[['Toán', '7.4'], ['Văn', '9'], ['Sử', '5.75'], ['Địa', '5.75'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.5']]
01002666,[['Toán', '7.4'], ['Văn', '9.25'], ['Sử', '6.5'], ['Địa', '6.75'], ['Ngoại ngữ', '9'], ['GDCD', '9.25']]
01002667,[['Toán', '6'], ['Lí', '5'], ['Hóa', '4'], ['Sinh', '5.25'], ['Văn', '8'], ['Ngoại ngữ', '4.8']]
01002668,[['Toán', '7.8'], ['Văn', '9'], ['Sử', '7.25'], ['Địa', '7.75'], ['Ngoại ngữ', '9.6'], ['GDCD', '9.5']]
01002669,[['Toán', '8.2'], ['Lí', '7.25'], ['Hóa', '8'], ['Sinh', '6.5'], ['Văn', '9'], ['Ngoại ngữ', '9.4']]
01002670,[['Toán', '7'], ['Văn', '8.75'], ['Sử', '9'], ['Địa', '7.5'], ['Ngoại ngữ', '6.8'], ['GDCD', '8.5']]
01002671,[['Toán', '8.2'], ['Văn', '9.25'], ['Sử', '7.5'], ['Địa', '7'], ['Ngoại ngữ', '8.4'], ['GDCD', '9.5']]
01002672,[['Toán', '7'], ['Văn', '8.25'], ['Sử', '5.75'], ['Địa', '6.25'], ['Ngoại ngữ', '7'], ['GDCD', '8']]
01002673,[['Toán', '4.2'], ['Văn', '6.5'], ['Sử', '6'], ['Địa', '6.5'], ['Ngoại ngữ', '4.6'], ['GDCD', '7.75']]
01002674,[['Toán', '8'], ['Văn', '8.5'], ['Sử', '6'], ['Địa', '6.75'], ['Ngoại ngữ', '7.4'], ['GDCD', '8.5']]
01002675,[['Toán', '6.6'], ['Lí', '7.5'], ['Hóa', '5.5'], ['Sinh', '6.75'], ['Văn', '7.25'], ['Ngoại ngữ', '6']]
01002676,[['Toán', '7'], ['Lí', '7'], ['Hóa', '7.5'], ['Sinh', '8.25'], ['Văn', '8'], ['Ngoại ngữ', '8']]
01002677,[['Toán', '8.2'], ['Lí', '7'], ['Hóa', '6.75'], ['Sinh', '5.75'], ['Văn', '6.25'], ['Ngoại ngữ', '8.4']]
01002678,[['Toán', '8.2'], ['Văn', '8.25'], ['Sử', '7.25'], ['Địa', '5.5'], ['Ngoại ngữ', '7.8'], ['GDCD', '8.75']]
01002679,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '8'], ['Địa', '7'], ['Ngoại ngữ', '7.6'], ['GDCD', '8.75']]
01002680,[['Toán', '7.8'], ['Lí', '6'], ['Hóa', '7.5'], ['Sinh', '6.25'], ['Văn', '7.75'], ['Ngoại ngữ', '7']]
01002681,[['Toán', '4.8'], ['Văn', '7.75'], ['Sử', '7.5'], ['Địa', '6'], ['Ngoại ngữ', '8.6'], ['GDCD', '8']]
01002682,[['Toán', '6.4'], ['Văn', '8.25'], ['Sử', '7'], ['Địa', '5.25'], ['Ngoại ngữ', '3.8'], ['GDCD', '7.75']]
01002683,[['Toán', '8'], ['Văn', '9'], ['Sử', '8.5'], ['Địa', '8.25'], ['Ngoại ngữ', '8.6'], ['GDCD', '9.75']]
01002684,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '5.25'], ['Địa', '6.5'], ['GDCD', '9.25']]
01002685,[['Toán', '7.6'], ['Văn', '8.25'], ['Sử', '6'], ['Địa', '6.25'], ['Ngoại ngữ', '9'], ['GDCD', '8.25']]
01002686,[['Toán', '8.2'], ['Văn', '9'], ['Sử', '7.75'], ['Địa', '6.25'], ['Ngoại ngữ', '7.8'], ['GDCD', '9.25']]
01002687,[['Toán', '5.2'], ['Văn', '7.25'], ['Sử', '5.75'], ['Địa', '5.75'], ['Ngoại ngữ', '3.6'], ['GDCD', '8.5']]
01002688,[['Toán', '7.4'], ['Văn', '8'], ['Sử', '5.5'], ['Địa', '6.25'], ['Ngoại ngữ', '7.4'], ['GDCD', '9.5']]
01002689,[['Toán', '7.8'], ['Văn', '9.25'], ['Sử', '6.25'], ['Địa', '4'], ['Ngoại ngữ', '8.8'], ['GDCD', '7.75']]
01002690,[['Toán', '8.6'], ['Văn', '9'], ['Sử', '8.75'], ['Địa', '7.5'], ['Ngoại ngữ', '9.4'], ['GDCD', '9.5']]
01002691,[['Toán', '6.4'], ['Văn', '9'], ['Sử', '6.5'], ['Địa', '6.25'], ['Ngoại ngữ', '8.2'], ['GDCD', '9.5']]
01002692,[['Toán', '7.4'], ['Văn', '8'], ['Sử', '6.75'], ['Địa', '6.5'], ['Ngoại ngữ', '5.6'], ['GDCD', '9.5']]
01002693,[['Toán', '6.2'], ['Văn', '8.5'], ['Sử', '8.25'], ['Địa', '6.75'], ['Ngoại ngữ', '8.6'], ['GDCD', '8']]
01002694,[['Toán', '6'], ['Văn', '8.5'], ['Sử', '8.75'], ['Địa', '8.25'], ['Ngoại ngữ', '7.4'], ['GDCD', '9.5']]
01002695,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '7'], ['Địa', '7'], ['Ngoại ngữ', '8.2'], ['GDCD', '8.75']]
01002696,[['Toán', '5.6'], ['Văn', '8'], ['Sử', '3'], ['Địa', '4.75'], ['Ngoại ngữ', '3.2'], ['GDCD', '7.5']]
01002697,[['Toán', '8.2'], ['Lí', '8.25'], ['Hóa', '4.75'], ['Sinh', '5.75'], ['Văn', '7'], ['Ngoại ngữ', '9']]
01002698,[['Toán', '6.2'], ['Văn', '8.75'], ['Sử', '7.25'], ['Địa', '9'], ['Ngoại ngữ', '4.2'], ['GDCD', '8.5']]
01002699,[['Toán', '7.6'], ['Lí', '8'], ['Hóa', '5'], ['Sinh', '5.25'], ['Văn', '8.25'], ['Ngoại ngữ', '9.4']]
01002700,[['Toán', '8'], ['Văn', '9'], ['Sử', '5.5'], ['Địa', '5.75'], ['Ngoại ngữ', '7.6'], ['GDCD', '7.25']]
01002701,[['Toán', '8.2'], ['Lí', '9'], ['Hóa', '3.75'], ['Sinh', '5.75'], ['Văn', '7'], ['Ngoại ngữ', '8.4']]
01002702,[['Toán', '7.2'], ['Văn', '7.5'], ['Sử', '4.5'], ['Địa', '7'], ['Ngoại ngữ', '6.8'], ['GDCD', '8']]
01002703,[['Toán', '6'], ['Văn', '8'], ['Sử', '6.25'], ['Địa', '6.5'], ['Ngoại ngữ', '5.6'], ['GDCD', '8.75']]
01002704,[['Toán', '7.2'], ['Văn', '8.5'], ['Sử', '6.75'], ['Địa', '5.25'], ['Ngoại ngữ', '8.6'], ['GDCD', '9.5']]
01002705,[['Toán', '5.2'], ['Văn', '7.75'], ['Sử', '6'], ['Địa', '7.25'], ['Ngoại ngữ', '4'], ['GDCD', '8.25']]
01002706,[['Toán', '8.8'], ['Văn', '9.25'], ['Sử', '6'], ['Địa', '7'], ['Ngoại ngữ', '9.6'], ['GDCD', '8.5']]
01002707,[['Toán', '8'], ['Lí', '7.5'], ['Hóa', '3.75'], ['Sinh', '5.75'], ['Văn', '7.5'], ['Ngoại ngữ', '8.4']]
01002708,[['Toán', '7.8'], ['Văn', '8.75'], ['Sử', '7.25'], ['Địa', '6.75'], ['Ngoại ngữ', '7.4'], ['GDCD', '8.25']]
01002709,[['Toán', '8.4'], ['Văn', '8'], ['Sử', '9.25'], ['Địa', '6'], ['Ngoại ngữ', '8.6'], ['GDCD', '8.25']]
01002710,[['Toán', '7.6'], ['Lí', '6.5'], ['Hóa', '3'], ['Sinh', '5.5'], ['Văn', '7.25'], ['Ngoại ngữ', '9.2']]
01002711,[['Toán', '5.2'], ['Văn', '5.5'], ['Sử', '6.75'], ['Địa', '5.75'], ['Ngoại ngữ', '6.8'], ['GDCD', '9.25']]
01002712,[['Toán', '8.4'], ['Lí', '7.75'], ['Hóa', '4.5'], ['Sinh', '6'], ['Văn', '8.5'], ['Ngoại ngữ', '8.4']]
01002713,[['Toán', '8.4'], ['Lí', '6'], ['Hóa', '7.5'], ['Sinh', '8.5'], ['Văn', '7'], ['Ngoại ngữ', '9']]
01002714,[['Toán', '8.2'], ['Lí', '6.75'], ['Hóa', '6.25'], ['Sinh', '6.75'], ['Văn', '6.75'], ['Ngoại ngữ', '8']]
01002715,[['Toán', '5.2'], ['Văn', '8'], ['Sử', '6.5'], ['Địa', '5.25'], ['Ngoại ngữ', '9'], ['GDCD', '8.25']]
01002716,[['Toán', '7.8'], ['Văn', '7.25'], ['Sử', '4.75'], ['Địa', '5.75'], ['Ngoại ngữ', '9'], ['GDCD', '7.25']]
01002717,[['Toán', '8.4'], ['Lí', '9'], ['Hóa', '5.75'], ['Sinh', '7'], ['Văn', '7'], ['Ngoại ngữ', '8.8']]
01002718,[['Toán', '7.6'], ['Văn', '7.75'], ['Sử', '7'], ['Địa', '6.25'], ['Ngoại ngữ', '5'], ['GDCD', '8.25']]
01002719,[['Toán', '8.4'], ['Lí', '9'], ['Hóa', '6'], ['Sinh', '7.25'], ['Văn', '7.25'], ['Ngoại ngữ', '9']]
01002720,[['Toán', '7'], ['Lí', '7.5'], ['Hóa', '7.75'], ['Sinh', '7'], ['Văn', '8.25'], ['Ngoại ngữ', '9.2']]
01002721,[['Toán', '7.4'], ['Lí', '8.75'], ['Hóa', '8'], ['Sinh', '6.5'], ['Văn', '7.25'], ['Ngoại ngữ', '7.8']]
01002722,[['Toán', '7.2'], ['Văn', '8.25'], ['Sử', '6.5'], ['Địa', '6.75'], ['Ngoại ngữ', '9'], ['GDCD', '8']]
01002723,[['Toán', '7.8'], ['Văn', '8.5'], ['Sử', '7'], ['Địa', '7'], ['Ngoại ngữ', '8.6'], ['GDCD', '8.75']]
01002724,[['Toán', '4.2'], ['Văn', '5.25'], ['Sử', '6'], ['Địa', '4.25'], ['Ngoại ngữ', '4.8'], ['GDCD', '6']]
01002725,[['Toán', '4.8'], ['Văn', '7'], ['Sử', '9'], ['Địa', '7'], ['Ngoại ngữ', '9.2'], ['GDCD', '9']]
01002726,[['Toán', '7.4'], ['Văn', '8.75'], ['Sử', '6'], ['Địa', '6'], ['Ngoại ngữ', '8'], ['GDCD', '8.25']]
01002727,[['Toán', '8.2'], ['Lí', '4'], ['Hóa', '8'], ['Sinh', '6.75'], ['Văn', '6.5'], ['Ngoại ngữ', '9']]
01002728,[['Toán', '6.4'], ['Lí', '4.75'], ['Hóa', '6.5'], ['Sinh', '6.5'], ['Văn', '8.5'], ['Ngoại ngữ', '8.6']]
01002729,[['Toán', '7'], ['Lí', '3.75'], ['Hóa', '6.75'], ['Sinh', '6.75'], ['Văn', '8.25'], ['Ngoại ngữ', '6.6']]
01002730,[['Toán', '8'], ['Lí', '7.5'], ['Hóa', '7.75'], ['Sinh', '7.25'], ['Văn', '8.75'], ['Ngoại ngữ', '8.8']]
01002731,[['Toán', '7.2'], ['Văn', '7'], ['Sử', '7.75'], ['Địa', '6.75'], ['GDCD', '8.5']]
01002732,[['Toán', '8.4'], ['Lí', '6.75'], ['Hóa', '8.75'], ['Sinh', '6.75'], ['Văn', '8.25'], ['Ngoại ngữ', '8']]
01002733,[['Toán', '6.6'], ['Lí', '4.5'], ['Hóa', '4.25'], ['Sinh', '6.75'], ['Văn', '8']]
01002734,[['Toán', '8.4'], ['Lí', '8'], ['Hóa', '8.75'], ['Sinh', '7'], ['Văn', '7.75'], ['Ngoại ngữ', '8.6']]
